name,file,country,summary,dob,tests_played,odis_played,test_runs,odi_runs,test_highest_runs,odi_highest_runs,test_runs_avg,odi_runs_avg,test_100s,test_50s,odi_100s,odi_50s,test_wickets,odi_wickets,test_10ws,test_5ws,odi_5ws,test_bbm_w,test_bbm_r,odi_bbm_w,odi_bbm_r
AB de Villiers,abde_villers_sa.jpg,SA,,2/17/1984,98,187,7606,7941,278,162,52.09,53.65,21,36,20,46,2,7,0,0,0,2,49,2,15
Anil Kumble,anil_kumble_ind.jpg,IND,,10/17/1970,134,271,2506,938,110,26,17.77,10.53,1,5,0,0,619,337,8,35,2,14,149,6,12
Aravinda de Silva,aravind_de_silva_slk.jpg,SLK,,10/17/1965,93,308,6361,9284,267,145,42.97,34.9,20,22,11,64,29,106,0,0,0,3,34,4,30
Brendon McCullum,brendon_mccullum_nz.jpg,NZ,,9/27/1981,94,254,6008,5909,302,166,38.76,30.3,11,29,5,31,1,0,0,0,0,1,13,0,0
Brett Lee,brett_lee_aus.jpg,AUS,,11/8/1976,76,221,1451,1176,64,59,20.15,17.81,0,5,0,3,310,380,0,10,9,9,171,5,22
Brian Lara,brian_lara_wi.jpg,WI,,5/2/1969,131,299,11953,10405,400,169,52.88,40.48,34,48,19,63,0,4,0,0,0,0,0,2,5
Chris Gayle,chris_gayle_wi.jpg,WI,,9/21/1979,103,269,7214,9221,333,215,42.18,37.33,15,37,22,47,73,163,0,2,1,6,81,5,46
Dale Steyn,dale_steyn_sa.jpg,SA,,6/27/1983,78,104,1114,259,76,35,14.65,8.09,0,2,0,0,396,162,5,25,3,11,60,6,39
Dennis Lillee,dennis_lilee_aus.jpg,AUS,,7/18/1949,70,63,905,240,73,42,13.71,9.23,0,1,0,0,355,103,7,23,1,11,123,5,34
Glenn Maxwell,glenn_maxwell_aus.jpg,AUS,,10/14/1988,3,49,80,1367,37,102,13.33,35.05,0,0,1,11,7,34,0,0,0,4,127,4,46
Glenn McGrath,glenn_mcgrath_aus.jpg,AUS,,2/9/1970,124,250,641,115,61,11,7.36,3.83,0,1,0,0,563,381,3,29,7,10,27,7,15
Graeme Smith,graeme_smith_sa.jpg,SA,,2/1/1981,117,197,9265,6989,277,141,48.25,37.98,27,38,10,47,8,18,0,0,0,2,145,3,30
Harbhajan Singh,harbhajan_singh_ind.jpg,IND,,7/3/1980,102,229,2209,1190,115,49,18.4,13.22,2,9,0,0,416,259,5,25,3,15,217,5,31
Hashim Amla,hashim_amla_sa.jpg,SA,,3/31/1981,82,115,6757,5692,311,159,52.78,55.26,23,28,20,28,0,0,0,0,0,0,0,0,0
Heath Streak,heath_streak_zim.jpg,ZIM,,3/16/1974,65,189,1990,2943,127,79,22.35,28.29,1,11,0,13,216,239,0,7,1,9,72,5,32
Herschelle Gibbs,herschelle_gibbs_sa.jpg,SA,,2/23/1974,90,248,6167,8094,228,175,41.95,36.13,14,26,21,37,0,0,0,0,0,0,0,0,0
Inzamam-ul-Haq,inzamam-ul-haq_pak.jpg,PAK,,3/3/1970,120,378,8830,11739,329,137,49.6,39.52,25,46,10,83,0,3,0,0,0,0,0,1,0
Jacques Kallis,jacques_kallis_sa.jpg,SA,,10/16/1975,166,328,13289,11579,224,139,55.37,44.36,45,58,17,86,292,273,0,5,2,9,92,5,30
James Anderson,james_anderson_eng.jpg,ENG,,7/30/1982,104,194,1002,273,81,28,10.77,7.58,0,1,0,0,403,269,2,17,2,11,71,5,23
Jason Gillespie,jason_gillespie_aus.jpg,AUS,,4/19/1975,71,97,1218,289,201,44,18.73,12.56,1,2,0,0,259,142,0,8,3,9,80,5,22
Joe Root,joe_root_eng.jpg,ENG,,12/30/1989,27,59,2273,2076,200,121,54.11,42.36,6,11,6,9,8,12,0,0,0,2,9,2,15
Kapil Dev,kapil_dev_ind.jpg,IND,,1/6/1959,131,225,5248,3783,163,175,31.05,23.79,8,27,1,14,434,253,2,23,1,11,146,5,43
Kevin Pietersen,kevin_pietersen_eng.jpg,ENG,,6/27/1980,104,136,8181,4440,227,130,47.28,40.73,23,35,9,25,10,7,0,0,0,4,78,2,22
Kumar Sangakkara,kumar_sangakkara_slk.jpg,SLK,,10/27/1977,132,404,12305,14234,319,169,58.04,41.98,38,52,25,93,0,0,0,0,0,0,0,0,0
Lasith Malinga,lasith_malinga_slk.jpg,SLK,,8/28/1983,30,184,275,446,64,56,11.45,6.96,0,1,0,1,101,283,0,3,7,9,210,6,38
Mahela Jayawardene,mahela_jayawardene_slk.jpg,SLK,,5/27/1977,149,448,11814,12650,374,144,49.84,33.37,34,50,19,77,6,8,0,0,0,2,32,2,56
Martin Guptil,martin_guptil_nz.jpg,NZ,,9/30/1986,33,113,1858,3933,189,237,29.96,39.72,2,14,7,25,5,2,0,0,0,3,37,2,7
Michael Clarke,michael_clarke_aus.jpg,AUS,,4/2/1981,110,245,8511,7981,329,130,50.66,44.58,28,27,8,58,31,57,0,2,1,6,9,5,35
Michael Holding,michael_holding_wi.jpg,WI,,2/16/1954,60,102,910,282,73,64,13.78,9.09,0,6,0,2,249,142,2,13,1,14,149,5,26
Michael Hussey,michael_hussey_aus.jpg,AUS,,5/27/2975,79,185,6235,5442,195,109,51.42,48.15,19,29,3,39,7,2,0,0,0,2,2,1,22
Mitchell Johnson,mitchell_johnson_aus.jpg,AUS,,11/2/1981,66,153,1893,951,123,73,22.8,16.11,1,10,0,2,291,239,3,12,3,12,127,6,31
Mohammad Azharuddin,mohammad_azharuddin_ind.jpg,IND,,2/8/1963,99,334,6215,9378,199,153,45.03,36.92,22,21,7,58,0,12,0,0,0,0,0,3,19
MS Dhoni,ms_dhoni_ind.jpg,IND,,7/7/1981,90,265,4876,8620,224,183,38.09,52.24,6,33,9,59,0,1,0,0,0,0,0,1,14
Muttiah Muralitharan,muttiah_muralitharan_slk.jpg,SLK,,4/17/1972,133,350,1261,674,67,33,11.67,6.8,0,1,0,0,800,534,22,67,10,16,220,7,30
Rahul Dravid,rahul_dravid_ind.jpg,IND,,1/11/1973,164,344,13228,10889,270,153,52.31,39.16,36,63,12,83,1,4,0,0,0,1,18,2,43
Ravichandran Ashwin,ravichandran_ashwin_ind.jpg,IND,,9/17/1986,25,99,1009,657,124,65,36.03,16.84,2,4,0,1,124,139,2,10,0,12,85,4,25
Ricky Ponting,ricky_ponting_aus.jpg,AUS,,12/19/1974,168,375,13378,13704,257,164,51.85,42.03,41,62,30,82,5,3,0,0,0,1,0,1,12
Rohit Sharma,rohit_sharma_aus.jpg,IND,,4/30/1987,11,138,668,4312,177,264,39.29,39.02,2,2,7,26,2,8,0,0,0,1,35,2,27
Sachin Tendulkar,sachin_tendulkar_ind.jpg,IND,,4/24/1973,200,463,15921,18426,248,200,53.78,44.83,51,68,49,96,46,154,0,0,2,3,14,5,32
Saeed Anwar,saeed_anwar_pak.jpg,IND,,9/6/1968,55,247,4052,8824,188,194,45.52,39.21,11,25,20,43,0,6,0,0,0,0,0,2,9
Sanath Jayasuriya,sanath_jayasuriya_slk.jpg,SLK,,6/30/1969,110,445,6973,13430,340,189,40.07,32.36,14,31,28,68,98,323,0,2,4,9,74,6,29
Shahid Afridi,shahid_afridi_pak.jpg,PAK,,3/1/1980,27,398,1716,8064,156,124,36.51,23.57,5,8,6,39,48,395,0,1,9,5,43,7,12
Shakib Al Hasan,shakib_al_hasan_bd.jpg,BD,,3/24/1987,40,153,2741,4334,144,134,39.72,35.23,3,19,6,30,146,198,1,14,0,10,124,4,16
Shane Warne,shane_warne_aus.jpg,AUS,,9/13/1969,145,194,3154,1018,99,55,17.32,13.05,0,12,0,1,708,293,10,37,1,12,128,5,33
Shane Watson,shane_watson_aus.jpg,AUS,,6/17/1981,58,187,3682,5686,176,185,35.4,40.61,4,24,9,33,75,166,0,3,0,6,51,4,36
Shaun Pollock,shaun_pollock_sa.jpg,SA,,7/16/1973,108,303,3781,3519,111,130,32.31,26.45,2,16,1,14,421,393,1,16,5,10,147,6,35
Shikhar Dhawan,shikhar_dhawan_ind.jpg,IND,,12/5/1985,14,64,996,2665,187,137,41.5,44.41,3,2,8,14,0,0,0,0,0,0,0,0,0
Shivnarine Chanderpaul,shivnarine_chanderpaul_wi.jpg,WI,,8/16/1974,164,268,11867,8778,203,150,51.37,41.6,30,66,11,59,9,14,0,0,0,1,2,3,18
Shoaib Akhtar,shoaib_akhtar_pak.jpg,PAK,,8/13/1975,46,163,544,394,47,43,10.07,8.95,0,0,0,0,178,247,2,12,4,11,78,6,16
Sourav Ganguly,sourav_ganguly_ind.jpg,IND,,7/8/1972,113,311,7212,11362,239,183,42.17,41.02,16,35,22,72,32,100,0,0,2,3,37,5,16
Stephen Fleming,stephen_fleming_nz.jpg,NZ,,4/1/1973,111,280,7172,8037,274,134,40.06,32.4,9,46,8,49,0,0,0,0,0,,0,0,0
Steve Waugh,steve_waugh_aus.jpg,AUS,,6/2/1965,168,325,10927,7569,200,120,51.06,32.09,32,50,3,45,92,195,0,3,0,8,169,4,33
Steven Smith,steven_smith_aus.jpg,AUS,,6/2/1989,28,58,2587,1549,199,105,56.23,40.76,9,11,4,7,15,27,0,0,0,4,83,3,16
Sunil Gavaskar,sunil_gavaskar_ind.jpg,IND,,7/10/1949,125,108,10122,3092,236,103,51.12,35.13,34,45,1,27,1,1,0,0,0,1,34,1,10
Virat Kohli,virat_kohli_ind.jpg,IND,,11/5/1989,34,161,2561,6586,169,183,45.73,50.66,10,10,22,33,0,0,0,0,0,0,0,1,15
Virender Sehwag,virender_sehwag_ind.jpg,IND,,11/20/1978,104,251,8586,8273,319,219,49.34,35.05,23,32,15,38,40,96,0,1,0,5,118,4,6
VVS Laxman,vvs_laxman_ind.jpg,IND,,11/1/1974,134,86,8781,2338,281,131,45.97,30.76,17,56,6,10,2,0,0,0,0,1,2,0,0
Wasim Akram,wasim_akram_pak.jpg,PAK,,6/3/1966,104,356,2898,3717,257,86,22.64,16.52,3,7,0,6,414,502,5,25,6,11,110,5,15
Yuvraj Singh,yuvraj_singh_ind.jpg,IND,,12/12/1981,40,293,1900,8329,169,139,33.92,36.37,3,11,13,51,9,111,0,0,1,2,20,5,31
Zaheer Khan,zaheer_khan_ind.jpg,IND,,10/7/1978,92,200,1231,792,75,34,11.95,12,0,3,0,0,311,282,1,11,1,10,149,5,42
